Index,Ticker
S&P,FI
S&P,SNPS
S&P,AMT
S&P,PANW
S&P,TMUS
S&P,CDNS
S&P,EQIX
S&P,ICE
S&P,CME
S&P,WM
S&P,SHW
S&P,CSX
S&P,SO
S&P,MO
S&P,CMG
S&P,DUK
S&P,ITW
S&P,CL
S&P,BDX
S&P,SLB
S&P,TGT
S&P,PH
S&P,MCK
S&P,EOG
S&P,ANET
S&P,ABNB
S&P,TDG
S&P,NOC
S&P,PSX
S&P,TT
S&P,USB
S&P,MPC
S&P,APH
S&P,AON
S&P,PYPL
S&P,ORLY
S&P,HCA
S&P,NXPI
S&P,GD
S&P,MAR
S&P,MCO
S&P,EMR
S&P,ROP
S&P,NSC
S&P,PNC
S&P,PCAR
S&P,FDX
S&P,ECL
S&P,FCX
S&P,MSI
S&P,ADSK
S&P,PXD
S&P,CTAS
S&P,GM
S&P,EW
S&P,AJG
S&P,LULU
S&P,WELL
S&P,HLT
S&P,APD
S&P,COF
S&P,MMM
S&P,TRV
S&P,AIG
S&P,ROST
S&P,SPG
S&P,AZO
S&P,F
S&P,VLO
S&P,IDXX
S&P,TFC
S&P,CCI
S&P,NUE
S&P,DXCM
S&P,MCHP
S&P,IQV
S&P,HUM
S&P,PSA
S&P,CARR
S&P,SRE
S&P,MSCI
S&P,URI
S&P,TEL
S&P,O
S&P,DHI
S&P,AEP
S&P,CPRT
S&P,OKE
S&P,MET
S&P,CNC
S&P,FTNT
S&P,CEG
S&P,BK
S&P,WMB
S&P,AFL
S&P,GWW
S&P,ALL
S&P,DLR
S&P,HES
S&P,FAST
S&P,AME
S&P,KMB
S&P,AMP
S&P,MNST
S&P,SYY
S&P,LHX
S&P,PAYX
S&P,OXY
S&P,CTSH
S&P,STZ
S&P,JCI
S&P,DOW
S&P,PRU
S&P,COR
S&P,ODFL
S&P,A
S&P,YUM
S&P,CTVA
S&P,LEN
S&P,D
S&P,FIS
S&P,GIS
S&P,OTIS
S&P,RSG
S&P,CMI
S&P,IR
S&P,EXC
S&P,NEM
S&P,MPWR
S&P,IT
S&P,EA
S&P,PCG
S&P,VRSK
S&P,EL
S&P,GPN
S&P,GEHC
S&P,VMC
S&P,MLM
S&P,PWR
S&P,ON
S&P,PPG
S&P,CSGP
S&P,KMI
S&P,CDW
S&P,KVUE
S&P,MRNA
S&P,XEL
S&P,EFX
S&P,BIIB
S&P,ROK
S&P,FICO
S&P,ACGL
S&P,FANG
S&P,HAL
S&P,KR
S&P,DG
S&P,VICI
S&P,KDP
S&P,ED
S&P,DLTR
S&P,FTV
S&P,PEG
S&P,DD
S&P,DFS
S&P,XYL
S&P,EXR
S&P,CHTR
S&P,ANSS
S&P,BKR
S&P,HSY
S&P,KHC
S&P,RCL
S&P,ADM
S&P,WTW
S&P,HIG
S&P,DVN
S&P,CBRE
S&P,DAL
S&P,ZBH
S&P,RMD
S&P,ULTA
S&P,WST
S&P,KEYS
S&P,CAH
S&P,MTD
S&P,EIX
S&P,TSCO
S&P,HWM
S&P,HPQ
S&P,LYB
S&P,GLW
S&P,TROW
S&P,WAB
S&P,AVB
S&P,WEC
S&P,WY
S&P,CHD
S&P,TTWO
S&P,NVR
S&P,BR
S&P,MOH
S&P,STE
S&P,BLDR
S&P,AWK
S&P,EBAY
S&P,MTB
S&P,DOV
S&P,FITB
S&P,SBAC
S&P,ALGN
S&P,PHM
S&P,STT
S&P,RJF
S&P,DTE
S&P,APTV
S&P,TRGP
S&P,ETR
S&P,ILMN
S&P,PTC
S&P,BAX
S&P,WBD
S&P,IRM
S&P,EQR
S&P,CBOE
S&P,GRMN
S&P,GPC
S&P,LUV
S&P,ES
S&P,IFF
S&P,TDY
S&P,DRI
S&P,FLT
S&P,BRO
