III
ADM
AAF.L
AAL
ANTO.L
AHT
AZN
AUTO.L
AV.L
BME
BA.L
BARC.L
BDEV.L
BEZ.L
BKY.L
BP
BATS.L
BT-A.L
BNZL.L
BRBY.L
CNA
CCH.L
CPG
CTEC
CRDA.L
DCC.L
DGE
DPLM.L
EDV
ENT.L
EXPN.L
FCIT.L
FLTR
FRAS.L
FRES
GLEN.L
GSK
HLMA.L
HIK
HWDN.L
HSBA.L
IMB.L
INF.L
IHG
ICP.L
ITRK.L
IAG
JD
LAND
LLOY.L
LSEG.L
MNG
MKS.L
MRO
MNDI.L
NG
NWG
NXT.L
OCDO.L
PSON.L
PSHZF
PSN
PHNX.L
PRU
RKT
REL.L
RTO
RMV.L
RIO
RR.L
RS1.L
SGE.L
SBRY.L
SDR.L
SMT.L
SGRO.L
SVT
SHEL
SMDS.L
SMIN
SKG
SPXSY
SSE.L
STJ.L
STAN.L
TW
TSCO
ULVR.L
UTG
UU.L
VOD
WEIR.L
WTB.L
WPP
